                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.1524,                 2.2266,                0.85848,                 1.1067,                0.66784,                 0.5481,                0.59913,                 0.3632,                0.63598,                0.44844,                0.50467,                0.24803,                 1.2749,                 2.3706,                0.91147,                 1.1759,              0.0010894,              0.0010894,              0.0010894
                     38,                  1.157,                 2.2472,                0.85763,                 1.1104,                0.70693,                0.53671,                0.60168,                0.36694,                0.64382,                 0.4817,                0.52456,                0.25152,                 1.2445,                 2.3528,                0.89208,                 1.1645,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.1432,                 2.2445,                0.85574,                 1.1031,                0.65417,                0.57308,                0.61155,                0.37957,                0.62818,                0.49442,                0.53185,                 0.2482,                 1.2226,                 2.4134,                0.88356,                 1.1428,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.1425,                 2.2207,                0.84755,                 1.1024,                0.66729,                0.53249,                0.59203,                0.36503,                0.65092,                0.46242,                0.50673,                0.24594,                 1.2388,                 2.3777,                 0.9227,                 1.1496,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.1443,                 2.2333,                0.84391,                  1.101,                0.66414,                0.56381,                0.60419,                0.36168,                0.68343,                0.48894,                0.53187,                0.24907,                 1.2535,                 2.3976,                0.89385,                 1.1659,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.1335,                  2.213,                0.85019,                 1.1031,                0.70726,                0.54986,                0.60946,                0.37755,                0.66069,                0.47491,                0.51931,                  0.249,                 1.2258,                   2.36,                0.90362,                 1.1467,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.1313,                 2.2018,                0.84365,                 1.0947,                0.64123,                0.59178,                 0.6073,                0.37169,                0.61908,                0.50558,                0.51753,                0.24891,                 1.2383,                 2.3767,                 0.8908,                 1.1515,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.1316,                 2.2015,                0.84002,                  1.097,                0.64084,                0.58448,                0.61112,                0.38089,                0.67544,                0.47506,                0.52565,                0.25633,                 1.2142,                 2.3478,                0.89591,                 1.1446,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.1301,                 2.1998,                0.84101,                 1.1016,                0.67468,                0.58454,                0.61798,                 0.3716,                0.65101,                0.50355,                0.52705,                0.25531,                 1.2532,                 2.3909,                0.89154,                 1.1771,             0.00095736,             0.00095736,             0.00095736
                     46,                   1.11,                 2.1644,                 0.8229,                 1.0849,                0.67014,                0.55957,                0.60485,                0.37268,                0.62161,                0.50559,                0.52714,                0.25216,                 1.2372,                 2.3988,                0.89193,                 1.1559,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.1311,                 2.1976,                0.82823,                 1.0901,                0.66846,                0.57304,                0.60175,                0.36857,                0.66684,                0.49112,                0.53002,                0.25658,                 1.2689,                 2.3636,                0.91737,                 1.1701,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.1161,                 2.1763,                0.81493,                 1.0847,                0.66171,                0.58423,                0.61185,                0.37926,                0.64861,                0.48111,                0.51871,                0.25379,                 1.2028,                 2.3435,                0.87991,                 1.1426,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.1157,                  2.182,                0.81338,                 1.0875,                0.67884,                0.58238,                0.60085,                0.37176,                0.58937,                0.50141,                0.50895,                0.24525,                 1.2284,                 2.3713,                0.90773,                 1.1482,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.1101,                 2.1717,                0.81484,                 1.0856,                0.70499,                0.56579,                0.62059,                0.38284,                0.66508,                0.51076,                0.54613,                0.25712,                 1.2315,                 2.3697,                0.88713,                 1.1505,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.1031,                 2.1717,                0.80387,                 1.0809,                0.70037,                 0.5634,                0.62297,                0.37773,                0.67263,                0.47336,                0.52869,                0.25707,                 1.2232,                 2.3341,                0.86793,                 1.1444,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.1091,                 2.1689,                0.80983,                 1.0844,                0.66168,                0.57718,                0.60558,                0.37318,                0.60812,                0.50451,                0.52184,                0.25299,                 1.2239,                 2.3543,                0.88055,                 1.1541,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.0907,                 2.1528,                0.79201,                  1.076,                0.69094,                0.57057,                0.62364,                0.38244,                0.64303,                0.50661,                0.54748,                0.25906,                 1.2217,                 2.3571,                0.86407,                 1.1489,             0.00082533,             0.00082533,             0.00082533
